Name: CCTV-11, URL: http://39.134.65.133/PLTV/88888888/224/3221225517/1.m3u8, IPv_Type: ipv4, Location: 中国-黑龙江, ISP: 移动, Date: None, Delay: 5554 ms, Speed: 0.37 M/s, Resolution: 1280x720
Name: CCTV-11, URL: http://39.134.67.108/PLTV/88888888/224/3221225517/1.m3u8, IPv_Type: ipv4, Location: 中国-黑龙江, ISP: 移动, Date: None, Delay: 5523 ms, Speed: 0.37 M/s, Resolution: 1280x720
Name: CCTV-11, URL: http://39.134.66.108/PLTV/88888888/224/3221225517/1.m3u8, IPv_Type: ipv4, Location: 中国-黑龙江, ISP: 移动, Date: None, Delay: 5560 ms, Speed: 0.37 M/s, Resolution: 1280x720
Name: CCTV-12, URL: http://39.134.65.175/PLTV/88888888/224/3221225669/1.m3u8, IPv_Type: ipv4, Location: 中国-黑龙江, ISP: 移动, Date: None, Delay: 4123 ms, Speed: 1.22 M/s, Resolution: 1920x1080
Name: CCTV-12, URL: http://39.134.66.108/PLTV/88888888/224/3221225669/1.m3u8, IPv_Type: ipv4, Location: 中国-黑龙江, ISP: 移动, Date: None, Delay: 5505 ms, Speed: 0.92 M/s, Resolution: 1920x1080
Name: CCTV-12, URL: http://39.134.67.155/PLTV/88888888/224/3221225669/1.m3u8, IPv_Type: ipv4, Location: 中国-黑龙江, ISP: 移动, Date: None, Delay: 5546 ms, Speed: 0.92 M/s, Resolution: 1920x1080
Name: CCTV-12, URL: http://39.135.133.173/PLTV/88888888/224/3221225669/1.m3u8, IPv_Type: ipv4, Location: 中国-黑龙江, ISP: 移动, Date: None, Delay: 5539 ms, Speed: 0.92 M/s, Resolution: 1920x1080
Name: CCTV-12, URL: http://39.135.133.172/PLTV/88888888/224/3221225669/1.m3u8, IPv_Type: ipv4, Location: 中国-黑龙江, ISP: 移动, Date: None, Delay: 5523 ms, Speed: 0.91 M/s, Resolution: 1920x1080
Name: CCTV-13, URL: http://39.134.67.179/PLTV/88888888/224/3221225812/1.m3u8, IPv_Type: ipv4, Location: 中国-黑龙江, ISP: 移动, Date: None, Delay: 4094 ms, Speed: 0.50 M/s, Resolution: 1280x720
Name: CCTV-13, URL: http://39.134.65.175/PLTV/88888888/224/3221225812/1.m3u8, IPv_Type: ipv4, Location: 中国-黑龙江, ISP: 移动, Date: None, Delay: 4109 ms, Speed: 0.50 M/s, Resolution: 1280x720
Name: CCTV-13, URL: http://39.134.67.155/PLTV/88888888/224/3221225812/1.m3u8, IPv_Type: ipv4, Location: 中国-黑龙江, ISP: 移动, Date: None, Delay: 5468 ms, Speed: 0.41 M/s, Resolution: 1280x720
Name: CCTV-13, URL: http://39.135.133.172/PLTV/88888888/224/3221225812/1.m3u8, IPv_Type: ipv4, Location: 中国-黑龙江, ISP: 移动, Date: None, Delay: 5454 ms, Speed: 0.37 M/s, Resolution: 1280x720
Name: CCTV-13, URL: http://39.134.66.108/PLTV/88888888/224/3221225812/1.m3u8, IPv_Type: ipv4, Location: 中国-黑龙江, ISP: 移动, Date: None, Delay: 5493 ms, Speed: 0.37 M/s, Resolution: 1280x720
Name: CCTV-13, URL: http://39.135.133.173/PLTV/88888888/224/3221225812/1.m3u8, IPv_Type: ipv4, Location: 中国-黑龙江, ISP: 移动, Date: None, Delay: 5479 ms, Speed: 0.37 M/s, Resolution: 1280x720
Name: CCTV-13, URL: http://39.134.67.108/PLTV/88888888/224/3221225812/1.m3u8, IPv_Type: ipv4, Location: 中国-黑龙江, ISP: 移动, Date: None, Delay: 5497 ms, Speed: 0.37 M/s, Resolution: 1280x720
Name: CCTV-13, URL: http://39.134.65.196/PLTV/88888888/224/3221225812/1.m3u8, IPv_Type: ipv4, Location: 中国-黑龙江, ISP: 移动, Date: None, Delay: 5513 ms, Speed: 0.37 M/s, Resolution: 1280x720
Name: CCTV-14, URL: http://39.134.67.179/PLTV/88888888/224/3221225674/1.m3u8, IPv_Type: ipv4, Location: 中国-黑龙江, ISP: 移动, Date: None, Delay: 4133 ms, Speed: 1.23 M/s, Resolution: 1920x1080
Name: CCTV-14, URL: http://39.134.65.175/PLTV/88888888/224/3221225674/1.m3u8, IPv_Type: ipv4, Location: 中国-黑龙江, ISP: 移动, Date: None, Delay: 4163 ms, Speed: 1.23 M/s, Resolution: 1920x1080
Name: CCTV-14, URL: http://39.135.133.173/PLTV/88888888/224/3221225674/1.m3u8, IPv_Type: ipv4, Location: 中国-黑龙江, ISP: 移动, Date: None, Delay: 5482 ms, Speed: 0.93 M/s, Resolution: 1920x1080
Name: CCTV-14, URL: http://39.134.66.108/PLTV/88888888/224/3221225674/1.m3u8, IPv_Type: ipv4, Location: 中国-黑龙江, ISP: 移动, Date: None, Delay: 5479 ms, Speed: 0.92 M/s, Resolution: 1920x1080
Name: CCTV-14, URL: http://39.135.133.172/PLTV/88888888/224/3221225674/1.m3u8, IPv_Type: ipv4, Location: 中国-黑龙江, ISP: 移动, Date: None, Delay: 5485 ms, Speed: 0.92 M/s, Resolution: 1920x1080
Name: CCTV-14, URL: http://39.134.65.196/PLTV/88888888/224/3221225674/1.m3u8, IPv_Type: ipv4, Location: 中国-黑龙江, ISP: 移动, Date: None, Delay: 5505 ms, Speed: 0.92 M/s, Resolution: 1920x1080
Name: CCTV-14, URL: http://39.134.67.108/PLTV/88888888/224/3221225674/1.m3u8, IPv_Type: ipv4, Location: 中国-黑龙江, ISP: 移动, Date: None, Delay: 5551 ms, Speed: 0.91 M/s, Resolution: 1920x1080
Name: CCTV-14, URL: http://39.134.67.155/PLTV/88888888/224/3221225674/1.m3u8, IPv_Type: ipv4, Location: 中国-黑龙江, ISP: 移动, Date: None, Delay: 5576 ms, Speed: 0.91 M/s, Resolution: 1920x1080
Name: CCTV-15, URL: http://39.134.65.175/PLTV/88888888/224/3221225513/1.m3u8, IPv_Type: ipv4, Location: 中国-黑龙江, ISP: 移动, Date: None, Delay: 4103 ms, Speed: 0.50 M/s, Resolution: 1280x720
Name: CCTV-15, URL: http://39.134.67.179/PLTV/88888888/224/3221225513/1.m3u8, IPv_Type: ipv4, Location: 中国-黑龙江, ISP: 移动, Date: None, Delay: 4121 ms, Speed: 0.50 M/s, Resolution: 1280x720
Name: CCTV-15, URL: http://39.135.133.173/PLTV/88888888/224/3221225513/1.m3u8, IPv_Type: ipv4, Location: 中国-黑龙江, ISP: 移动, Date: None, Delay: 5501 ms, Speed: 0.37 M/s, Resolution: 1280x720
